local-authority-code,ecode
WYE,E1839
WYR,E2344
WYO,E0435
WYC,E1838
WRX,
WOT,E3837
WOR,E1821
WOC,E1837
WOK,E0306
WOI,E3641
WRL,E4305
WIN,E1743
WIL,E3902
WGN,E4210
WEY,E1238
WYCA,
WSX,E3820
WSK,
WSO,E3335
WOX,E3135
WECA,
WNT,
WMCA,
WLN,
WLI,E2537
WLA,E2343
WDU,
WDO,E1237
WDE,E1140
WBK,E0302
WEW,E1940
WEL,E2837
WEA,E1437
WAE,E3640
WAV,E3537
WAT,E1939
WAR,E3720
WAW,E3735
WRT,E0602
WLL,E4606
WKF,E4705
VAL,E3134
VGL,
UTT,E1544
TUN,E2244
TRF,E4209
TOR,E1139
TOF,
TOB,E1102
TON,E2243
THR,E1502
THE,E1938
MRY,
HLD,
THA,E2242
TEW,E1636
TES,E1742
TEN,E1542
TFW,E3201
TEI,E1137
TVCA,
TAU,E3333
TAN,E3639
TAW,E3439
TAM,E4208
SWD,E3901
SWL,E2241
SUR,E3638
SRY,E3620
SND,E4505
SFK,E3520
SUF,E3536
STO,E1635
STR,E3734
NIR-J,
STE,E3401
STT,E0704
SKP,E4207
STG,
STV,E1937
STF,E3437
STS,E3421
STA,E3436
SHN,E4303
SED,E3535
SAL,E1936
SPE,E3637
SOS,E1501
STH,E1702
STY,E4504
SST,E3435
SSO,E3334
SRI,E2342
SOX,E3133
SNR,E2836
SNO,E2637
SLK,
SLA,E0936
SKE,E2536
SHO,E2535
SHA,E1136
SGC,E0103
SDE,E1039
SCA,E0536
SBU,E0434
SAY,
SWT,
SOM,E3320
SOL,E4605
SLG,E0304
SHR,E3202
ZET,
SCR,
SHF,E4404
SEV,E2239
SEL,E2757
SFT,E4304
SEG,E3332
SCB,
SCE,E2736
SAW,E4604
SLF,E4206
RYE,E2755
RUT,E2402
RUH,E1740
RUS,E3038
RUN,E3636
RUG,E3733
WNM,E0305
KTT,E5043
KEC,E5016
GRE,E5012
ROT,E4403
ROH,E1436
ROS,E2341
ROC,E1540
RCH,E4205
RIH,E2734
RIB,E2340
RCT,
RFW,
REI,E3635
RED,E1835
RCC,E0703
RDG,E0303
PUR,E1236
PRE,E2339
POW,
POR,E1701
PLY,E1101
PTE,E0501
PKN,
PEN,E2338
PEM,
OXF,E3120
OXO,E3132
ORK,
NIR-K,
OLD,E4204
OAD,E2438
NUN,E3732
NTT,E3021
NGM,E3001
NOW,E2636
NBL,E2901
NTH,E2820
NOR,E2835
NYK,E2721
NWL,E2437
NWA,E3731
NTY,E4503
NSM,E0104
NTCA,
NNT,
NNO,E2635
NLN,E2004
NLK,
NKE,E2534
NHE,E1935
NEL,E2003
NED,E1038
NECA,
NIR-W,
NDO,E1234
NDE,E1134
NAY,
NFK,E2620
NIR-U,
NMD,
NIR-P,
NWP,
NEC,E3434
NET,E4502
NEA,E3036
NEW,E1738
NTL,
NIR-E,
MON,
MOL,E3634
MIK,E0401
MLN,
MDB,E0702
MUL,
MSS,E3836
MSU,E3534
MDE,E1133
MEA,
MTY,
MEN,E3331
MEL,E2436
MDW,E2201
MAS,E3035
MAN,E4203
MAV,E1851
MAL,E1539
MAI,E2237
NIR-H,
LUT,E0201
WND,E5021
WFT,E5049
TWH,E5020
STN,E5048
SWK,E5019
RIC,E5047
RDB,E5046
NWM,E5045
MRT,E5044
LEW,E5018
LBH,E5017
ISL,E5015
HNS,E5042
HIL,E5041
HAV,E5040
HRW,E5039
HRY,E5038
HMF,E5014
HCK,E5013
ENF,E5037
EAL,E5036
CRY,E5035
CMD,E5011
BRY,E5034
BEN,E5033
BEX,E5032
BNE,E5031
BDG,E5030
LCR,
LIV,E4302
NIR-S,
LBC,
LIN,E2520
NIR-B,
LIF,E3433
LEE,E1435
LEC,E2421
LCE,E2401
LDS,E4704
NIR-F,
LAC,E2337
LAN,E2321
KWL,E4301
KIR,E4703
KET,E2834
KEN,E2221
IOW,E2101
AGY,
IPS,E3533
IVC,
HYN,E2336
HUN,E0551
KHL,E2002
HOR,E3835
HIN,E2434
HIG,E1037
HER,E1934
HRT,E1920
HEF,E1801
HAA,E1737
HAS,E1433
HPL,E0701
HAT,E1736
HAG,E2753
HAR,E1538
HAO,E2433
HAM,E1721
HAE,E2732
HAL,E0601
GWN,
GRT,E3633
GMCA,
GLA,E5100
GRY,E2633
GRA,E2236
GOS,E1735
GLS,E1620
