local-authority-code,even-older-register-and-code
WYE,
WYR,
WYO,
WYC,
WRX,local-authority-wls:WRX
WOT,
WOR,
WOC,
WOK,
WOI,
WRL,
WIN,
WIL,
WGN,
WEY,
WYCA,
WSX,
WSK,
WSO,
WOX,
WECA,
WNT,
WMCA,
WLN,
WLI,
WLA,
WDU,
WDO,
WDE,
WBK,
WEW,
WEL,
WEA,
WAE,
WAV,
WAT,
WAR,
WAW,
WRT,
WLL,
WKF,
VAL,
VGL,local-authority-wls:VGL
UTT,
TUN,
TRF,
TOR,
TOF,local-authority-wls:TOF
TOB,
TON,
THR,
THE,
MRY,
HLD,
THA,
TEW,
TES,
TEN,
TFW,
TEI,
TVCA,
TAU,
TAN,
TAW,
TAM,
SWD,
SWL,
SUR,
SRY,
SND,
SFK,
SUF,
STO,
STR,
NIR-J,
STE,
STT,
SKP,
STG,
STV,
STF,
STS,
STA,
SHN,
SED,
SAL,
SPE,
SOS,
STH,
STY,
SST,
SSO,
SRI,
SOX,
SNR,
SNO,
SLK,
SLA,
SKE,
SHO,
SHA,
SGC,
SDE,
SCA,
SBU,
SAY,
SWT,
SOM,
SOL,
SLG,
SHR,
ZET,
SCR,
SHF,
SEV,
SEL,
SFT,
SEG,
SCB,
SCE,
SAW,
SLF,
RYE,
RUT,
RUH,
RUS,
RUN,
RUG,
WNM,
KTT,
KEC,
GRE,
ROT,
ROH,
ROS,
ROC,
RCH,
RIH,
RIB,
RCT,local-authority-wls:RCT
RFW,
REI,
RED,
RCC,
RDG,
PUR,
PRE,
POW,local-authority-wls:POW
POR,
PLY,
PTE,
PKN,
PEN,
PEM,local-authority-wls:PEM
OXF,
OXO,
ORK,
NIR-K,
OLD,
OAD,
NUN,
NTT,
NGM,
NOW,
NBL,
NTH,
NOR,
NYK,
NWL,
NWA,
NTY,
NSM,
NTCA,
NNT,
NNO,
NLN,
NLK,
NKE,
NHE,
NEL,
NED,
NECA,
NIR-W,
NDO,
NDE,
NAY,
NFK,
NIR-U,
NMD,
NIR-P,
NWP,local-authority-wls:NWP
NEC,
NET,
NEA,
NEW,
NTL,local-authority-wls:NTL
NIR-E,
MON,local-authority-wls:MON
MOL,
MIK,
MLN,
MDB,
MUL,
MSS,
MSU,
MDE,
MEA,
MTY,local-authority-wls:MTY
MEN,
MEL,
MDW,
MAS,
MAN,
MAV,
MAL,
MAI,
NIR-H,
LUT,
WND,
WFT,
TWH,
STN,
SWK,
RIC,
RDB,
NWM,
MRT,
LEW,
LBH,
ISL,
HNS,
HIL,
HAV,
HRW,
HRY,
HMF,
HCK,
ENF,
EAL,
CRY,
CMD,
BRY,
BEN,
BEX,
BNE,
BDG,
LCR,
LIV,
NIR-S,
LBC,
LIN,
NIR-B,
LIF,
LEE,
LEC,
LCE,
LDS,
NIR-F,
LAC,
LAN,
KWL,
KIR,
KET,
KEN,
IOW,
AGY,local-authority-wls:AGY
IPS,
IVC,
HYN,
HUN,
KHL,
HOR,
HIN,
HIG,
HER,
HRT,
HEF,
HAA,
HAS,
HPL,
HAT,
HAG,
HAR,
HAO,
HAM,
HAE,
HAL,
GWN,local-authority-wls:GWN
GRT,
GMCA,
GLA,
GRY,
GRA,
GOS,
GLS,
GLO,
GLG,
GED,
GAT,
FYL,
FOE,
FOR,
SHE,
FLN,local-authority-wls:FLN
FIF,
NIR-L,
FMO,
FEN,
FAR,
FAL,
EXE,
ESS,
ERE,
EPS,
EPP,
ELM,
EDN,
EAT,
EAS,
ESX,
ESK,
EST,
ERY,
ERW,
ENO,
ELN,
ELI,
EHE,
EHA,
EDU,
EDO,
EDE,
ECA,
EAY,
DUR,
NIR-M,
DND,
DGY,
DUD,
NIR-R,
DOV,
DOR,
DST,
DNC,
DEV,
NIR-A,
DRS,
DEB,
DBY,
DER,
DEN,local-authority-wls:DEN
DAV,
DAR,
DAL,
DAC,
CMA,
CRW,
CRA,
NIR-N,
COV,
IOS,
COT,
CON,
COR,
COP,
NIR-I,
CWY,local-authority-wls:CWY
ELS,
NIR-C,
COL,
CLK,
YOR,
WLV,
WSM,
LND,
LIC,
EDH,
CRF,local-authority-wls:CRF
BRD,
SWA,local-authority-wls:SWA
CHC,
CHO,
CHN,
CHI,
CHS,
CHW,
CHE,
CHR,
CHT,
CHL,
CHA,
CGN,local-authority-wls:CGN
CBF,
CCG,
NIR-Y,
CAS,
NIR-V,
CMN,local-authority-wls:CMN
CAR,
CAT,
CAN,
CAM,
CPCA,
CAB,
CLD,
CAY,local-authority-wls:CAY
BUR,
BUN,
BKM,
BUC,
BRT,
BRX,
BRM,
BRO,
BST,
BNH,
BGE,local-authority-wls:BGE
BRW,
BRE,
BRA,
BRC,
BPC,
BMH,
BOT,
POL,
KIN,
BOL,
BOS,
BGW,local-authority-wls:BGW
BPL,
BBD,
BLA,
BIR,
BFS,
BDF,
BAS,
BAE,
BAN,
BAI,
BAR,
BNS,
NIR-Q,
NIR-D,
NIR-G,
BAB,
AYL,
ASF,
ASH,
ARU,
ABC,
NIR-O,
AGB,
NIR-X,
AND,
NIR-T,
ANN,
ANS,
AMB,
ALL,
ADU,
ABD,
ABE,
