local-authority-code,old-register-and-code
WYE,local-authority-eng:WYE
WYR,local-authority-eng:WYR
WYO,local-authority-eng:WYO
WYC,local-authority-eng:WYC
WRX,principal-local-authority:WRX
WOT,local-authority-eng:WOT
WOR,local-authority-eng:WOR
WOC,local-authority-eng:WOC
WOK,local-authority-eng:WOK
WOI,local-authority-eng:WOI
WRL,local-authority-eng:WRL
WIN,local-authority-eng:WIN
WIL,local-authority-eng:WIL
WGN,local-authority-eng:WGN
WEY,local-authority-eng:WEY
WYCA,
WSX,local-authority-eng:WSX
WSK,local-authority-eng:WSK
WSO,local-authority-eng:WSO
WOX,local-authority-eng:WOX
WECA,local-authority-eng:WECA
WNT,
WMCA,local-authority-eng:WMCA
WLN,local-authority-sct:WLN
WLI,local-authority-eng:WLI
WLA,local-authority-eng:WLA
WDU,local-authority-sct:WDU
WDO,local-authority-eng:WDO
WDE,local-authority-eng:WDE
WBK,local-authority-eng:WBK
WEW,local-authority-eng:WEW
WEL,local-authority-eng:WEL
WEA,local-authority-eng:WEA
WAE,local-authority-eng:WAE
WAV,local-authority-eng:WAV
WAT,local-authority-eng:WAT
WAR,local-authority-eng:WAR
WAW,local-authority-eng:WAW
WRT,local-authority-eng:WRT
WLL,local-authority-eng:WLL
WKF,local-authority-eng:WKF
VAL,local-authority-eng:VAL
VGL,principal-local-authority:VGL
UTT,local-authority-eng:UTT
TUN,local-authority-eng:TUN
TRF,local-authority-eng:TRF
TOR,local-authority-eng:TOR
TOF,principal-local-authority:TOF
TOB,local-authority-eng:TOB
TON,local-authority-eng:TON
THR,local-authority-eng:THR
THE,local-authority-eng:THE
MRY,local-authority-sct:MRY
HLD,local-authority-sct:HLD
THA,local-authority-eng:THA
TEW,local-authority-eng:TEW
TES,local-authority-eng:TES
TEN,local-authority-eng:TEN
TFW,local-authority-eng:TFW
TEI,local-authority-eng:TEI
TVCA,local-authority-eng:TVCA
TAU,local-authority-eng:TAU
TAN,local-authority-eng:TAN
TAW,local-authority-eng:TAW
TAM,local-authority-eng:TAM
SWD,local-authority-eng:SWD
SWL,local-authority-eng:SWL
SUR,local-authority-eng:SUR
SRY,local-authority-eng:SRY
SND,local-authority-eng:SND
SFK,local-authority-eng:SFK
SUF,local-authority-eng:SUF
STO,local-authority-eng:STO
STR,local-authority-eng:STR
NIR-J,local-authority-nir:NIR-J
STE,local-authority-eng:STE
STT,local-authority-eng:STT
SKP,local-authority-eng:SKP
STG,local-authority-sct:STG
STV,local-authority-eng:STV
STF,local-authority-eng:STF
STS,local-authority-eng:STS
STA,local-authority-eng:STA
SHN,local-authority-eng:SHN
SED,local-authority-eng:SED
SAL,local-authority-eng:SAL
SPE,local-authority-eng:SPE
SOS,local-authority-eng:SOS
STH,local-authority-eng:STH
STY,local-authority-eng:STY
SST,local-authority-eng:SST
SSO,local-authority-eng:SSO
SRI,local-authority-eng:SRI
SOX,local-authority-eng:SOX
SNR,local-authority-eng:SNR
SNO,local-authority-eng:SNO
SLK,local-authority-sct:SLK
SLA,local-authority-eng:SLA
SKE,local-authority-eng:SKE
SHO,local-authority-eng:SHO
SHA,local-authority-eng:SHA
SGC,local-authority-eng:SGC
SDE,local-authority-eng:SDE
SCA,local-authority-eng:SCA
SBU,local-authority-eng:SBU
SAY,local-authority-sct:SAY
SWT,local-authority-eng:SWT
SOM,local-authority-eng:SOM
SOL,local-authority-eng:SOL
SLG,local-authority-eng:SLG
SHR,local-authority-eng:SHR
ZET,local-authority-sct:ZET
SCR,local-authority-eng:SCR
SHF,local-authority-eng:SHF
SEV,local-authority-eng:SEV
SEL,local-authority-eng:SEL
SFT,local-authority-eng:SFT
SEG,local-authority-eng:SEG
SCB,local-authority-sct:SCB
SCE,local-authority-eng:SCE
SAW,local-authority-eng:SAW
SLF,local-authority-eng:SLF
RYE,local-authority-eng:RYE
RUT,local-authority-eng:RUT
RUH,local-authority-eng:RUH
RUS,local-authority-eng:RUS
RUN,local-authority-eng:RUN
