local-authority-code,os
WYE,7000000000003210.0
WYR,7000000000004920.0
WYO,7000000000011880.0
WYC,7000000000003120.0
WRX,7000000000025830.0
WOT,7000000000016260.0
WOR,7000000000002990.0
WOC,7000000000003130.0
WOK,7000000000038890.0
WOI,7000000000014190.0
WRL,7000000000006060.0
WIN,7000000000017750.0
WIL,7000000000043920.0
WGN,7000000000018860.0
WEY,7000000000014500.0
WYCA,
WSX,7000000000016410.0
WSK,
WSO,7000000000010680.0
WOX,7000000000008570.0
WECA,
WNT,
WMCA,
WLN,7000000000030630.0
WLI,7000000000043520.0
WLA,7000000000004910.0
WDU,7000000000036540.0
WDO,7000000000014530.0
WDE,7000000000022760.0
WBK,7000000000038890.0
WEW,7000000000003720.0
WEL,7000000000007350.0
WEA,7000000000002670.0
WAE,7000000000014110.0
WAV,7000000000015440.0
WAT,7000000000003790.0
WAR,7000000000010040.0
WAW,7000000000043510.0
WRT,7000000000038840.0
WLL,7000000000000070.0
WKF,7000000000016750.0
VAL,7000000000008430.0
VGL,7000000000025500.0
UTT,7000000000020030.0
TUN,7000000000018650.0
TRF,7000000000018780.0
TOR,7000000000022970.0
TOF,7000000000044420.0
TOB,7000000000038880.0
TON,7000000000018340.0
THR,7000000000038860.0
THE,7000000000003820.0
MRY,7000000000029950.0
HLD,7000000000029630.0
THA,7000000000018130.0
TEW,7000000000020380.0
TES,7000000000043510.0
TEN,7000000000019540.0
TFW,7000000000038850.0
TEI,7000000000022880.0
TVCA,
TAU,7000000000010370.0
TAN,7000000000013870.0
TAW,7000000000014720.0
TAM,7000000000018700.0
SWD,7000000000038140.0
SWL,7000000000018240.0
SUR,7000000000014060.0
SRY,7000000000013960.0
SND,7000000000009730.0
SFK,7000000000015930.0
SUF,7000000000015500.0
STO,7000000000020570.0
STR,7000000000009940.0
NIR-J,
STE,7000000000038400.0
STT,7000000000025580.0
SKP,7000000000018750.0
STG,7000000000030500.0
STV,7000000000003740.0
STF,7000000000015060.0
STS,7000000000015050.0
STA,7000000000014890.0
SHN,7000000000006000.0
SED,7000000000015640.0
SAL,7000000000003870.0
